reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,app_name
bcd04ec7-0b83-41b8-bdf9-77e187618ba2,Saturnino Llanita,https://play-lh.googleusercontent.com/a/ACg8ocLEqst5S6MvBIrsk3hz6utDb_2KIOcDcwhN8vp8s33YxRwwcw=mo,this game is good and cool I gave it five star,5,0,,2024-10-22 05:50:50,,,,Mini Games: Calm & Relax
f7195472-1a22-4e30-b7fe-6927565de860,Ingudum Modhu,https://play-lh.googleusercontent.com/a/ACg8ocIw_G2TadhM4MFve8sDqrYzg9oemOzjsuWyeV0YqhfA_lMBGA=mo,This is the best game like im serioues best app get it noww,5,0,,2024-10-22 05:13:15,,,,Mini Games: Calm & Relax
a82f465d-b1c4-43a4-b733-cf7666168afa,Soni Singh,https://play-lh.googleusercontent.com/a/ACg8ocJ_GQzkvVXE7WE5E1K6Jtqqf44swWTfTavLZ5p0oF1TfqgF8A=mo,fghhhhhyy hai kya tum mere sath date 📅📅📅 hai hai kya hua aise hi nahi hai to kya kar rahe ho uthao revision karo cal exam hai mera to be choosen for you bubu jaan mara to hai n bas hai apna time lagega to be choosen to the tmko of time and my mumma and Nikita when I m not 🚭🚭 I m not feeling very nice and my home 🏠 and my mumma and Nikita when you bubu are not feeling well and my home let's see uh oh same time as I e sab t hai hai ye bhi h na ghr jkr le to tgghys hai ETF ka kya hua tha 1 ye,5,0,1.0.21,2024-10-22 05:09:37,,,1.0.21,Mini Games: Calm & Relax
a87aa59d-881e-48b3-90f8-bf446c1921bc,Hong Koid,https://play-lh.googleusercontent.com/a/ACg8ocK5bLCU4-XOvW6qb6zyCv15oe4ZpBkXqU8FJN-XOKXQnpN8gQ=mo,"Too much ads, good game but too much ads ruined the game play experience",1,0,,2024-10-22 05:05:32,,,,Mini Games: Calm & Relax
1bee256a-ca1f-40bb-916f-aa2fa82fc258,Gabriela Olaguez,https://play-lh.googleusercontent.com/a-/ALV-UjUt7De1TPRmdoXOjDzI34BzNM_GTNVjj8DAgUeNKZduRdeKJoQ,Humble is not a secret,5,0,1.0.22,2024-10-22 05:02:11,,,1.0.22,Mini Games: Calm & Relax
f53fe0a8-7d80-4113-a980-e873bad9f5ee,Anuj Singh,https://play-lh.googleusercontent.com/a/ACg8ocLqMSEMqml5FUFho42kl5g5uSjlXuQirYBoyw7sYWeUiu6RRg=mo,Ga me is Amazing,1,0,1.0.22,2024-10-22 04:27:56,,,1.0.22,Mini Games: Calm & Relax
47fb99c1-1271-4384-a77c-3f7425d23e9a,Aze Felicity Montero,https://play-lh.googleusercontent.com/a-/ALV-UjWg2lEDoP-8lAWIiL7L6sH6MjDpF1-ynzvIDLI-Wgvh38oKg_c,Aze Felicity Montero l,5,0,1.0.22,2024-10-22 04:22:41,,,1.0.22,Mini Games: Calm & Relax
94f981b0-34fc-44b9-8ced-228d00b9ba8e,Peterson Family,https://play-lh.googleusercontent.com/a/ACg8ocL-Ecj9sj4ZrmHdxuw_p1VTDO8TyGagKKfTQbMtaUMnbuUByxY=mo,This has the stuff I like! I'd recommend it. But it has a lot of ads for me😭,4,0,1.0.22,2024-10-22 03:52:55,,,1.0.22,Mini Games: Calm & Relax
2cb8a08d-f12c-4195-827b-2c1d6d344350,Kunal Chandan,https://play-lh.googleusercontent.com/a/ACg8ocJipv7M1_YDb23sE3sRH2MohUCLfjOA1WlpZWYMH36FDBXDSg=mo,best game in the world,5,0,1.0.21,2024-10-22 03:09:12,,,1.0.21,Mini Games: Calm & Relax
4fdf8a2a-8a43-4b62-a1d9-c3820fb782f9,rakhi punia,https://play-lh.googleusercontent.com/a-/ALV-UjXGhKti6bXmo_UPCFh6rSwu9Nsgz6zgsqD5ETESdCWo2o1_fJxN9Q,very nice and great 💯,5,0,,2024-10-22 02:49:49,,,,Mini Games: Calm & Relax
2e644356-579a-496a-b31b-60c3596a97ea,Lucia Anda,https://play-lh.googleusercontent.com/a/ACg8ocLo1piU1C9v3u521ROwBDEdYU-RfmNyqsgudPhwthrP5mu4LQ=mo,"I read it I storeroblox and the family, I am now a little bit concerned 😟 😨 🫨 😅 🙃 😐 😟 😨 🫨",4,0,1.0.22,2024-10-22 02:20:21,,,1.0.22,Mini Games: Calm & Relax
6e75a7a4-4459-4b1b-b0cd-2426db5a262f,Lucifer Smith,https://play-lh.googleusercontent.com/a-/ALV-UjVvWERleB0x97PiRj_wC8IXG3tJh6O0D-BkQOYBHXV7CW7Flvc,Uninstalled in about 20 sec,1,0,1.0.22,2024-10-22 02:18:41,,,1.0.22,Mini Games: Calm & Relax
04853463-baac-42de-979c-422f04286994,Sofia Castillo,https://play-lh.googleusercontent.com/a/ACg8ocIuZnA7nXVkkZLFV3zQZanLpNMEiJ5nqWU5Q_oBE6LXDHnjxQ=mo,because it will help your class 🩷💜🩵💚💛,5,0,1.0.22,2024-10-22 02:15:56,,,1.0.22,Mini Games: Calm & Relax
b2f1fc53-4778-416b-9d6b-6de7f7a43228,Yubhashana Mishra,https://play-lh.googleusercontent.com/a/ACg8ocK7uL6Y3mTD8hkfoLlxjvoGgFNFHc9IXgaS7rcBvCF4FhXdeQ=mo,Very Very gooda. So So relaxing 😎😌,5,0,1.0.22,2024-10-22 01:44:40,,,1.0.22,Mini Games: Calm & Relax
aea143ce-b496-470d-bc61-dc761146f3b3,Juleen Hamdan,https://play-lh.googleusercontent.com/a/ACg8ocL4TIbF_xab1gncsCBiQAClXBpoXqVKZ6kcTXFrWpDieaIuyQ=mo,very fum to play 5 star 🌟,5,0,1.0.22,2024-10-22 01:15:14,,,1.0.22,Mini Games: Calm & Relax
50ce5f7b-ef82-4105-b016-fc2a10262f18,Arlene Balayan,https://play-lh.googleusercontent.com/a-/ALV-UjW5O8jUhTc5CwC0yyS9DOCSWpWvCdtIsLBohfz18TfnxPEaJW4,great,4,0,,2024-10-22 01:04:04,,,,Mini Games: Calm & Relax
